Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM-PR 5.3,Current Policies,World,Capacity Additions Electricity,GW/yr,0,0,0,12.95402834,10.08092959,12.16554291,6.685626459,10.64361815,5.296763641,12.50071207,9.772014059,10.66007686,11.74214541,10.71378966,5.758235584,6.524709907,5.332789322,4.105261621,3.090100298,2.885458907
GCAM-PR 5.3,Current Policies,USA,Capacity Additions Electricity,GW/yr,0,0,0,19.72280682,81.43833645,101.4518232,90.74114622,33.14382493,53.61393338,78.16412931,138.1828452,141.146785,165.4309801,108.630059,138.3149494,145.514894,202.2197883,197.1902424,211.942155,144.6285377
GCAM-PR 5.3,Current Policies,World,Capacity Additions Electricity,GW/yr,0,0,0,1290.840789,4367.447118,8991.211289,9316.32756,6361.020738,12696.85829,18486.32793,24082.57899,29973.51115,38368.245,36290.08512,42513.21117,43924.88567,43791.41224,41796.08189,43552.49137,35844.90111
GCAM-PR 5.3,Current Policies,USA,Capacity Additions Electricity,GW/yr,0,0,0,0.575856319,0.457882339,0.347879242,0.629310981,0.633914882,1.723009081,1.90426013,1.845488327,1.136825643,1.07350609,0.801500028,1.087149243,0.818614466,0.78642289,0.582613778,0.650960184,0.576490159
GCAM-PR 5.3,Current Policies,World,Capacity Additions Electricity,GW/yr,0,0,0,0.921052925,2.16328128,3.415550467,4.396382054,2.759785201,19.71625038,33.67713696,41.3168945,51.09065214,65.69598229,60.46305581,100.8337004,111.6035002,114.1119977,101.8048178,100.4595959,78.82987094
GCAM-PR 5.3,Current Policies,USA,Capacity Additions Electricity,GW/yr,0,0,0,19.14695051,80.98045411,101.1039439,90.11183524,32.50991005,51.8909243,76.25986918,136.3373569,140.0099593,164.357474,107.8285589,137.2278002,144.6962796,201.4333654,196.6076286,211.2911948,144.0520475
GCAM-PR 5.3,Current Policies,World,Capacity Additions Electricity,GW/yr,0,0,0,1289.919736,4365.283837,8987.795738,9311.931178,6358.260953,12677.14204,18452.65079,24041.2621,29922.4205,38302.54902,36229.62207,42412.37747,43813.28217,43677.30024,41694.27707,43452.03177,35766.07124
GCAM-PR 5.3,Current Policies,USA,Capacity Additions Electricity,GW/yr,0,0,0,17.4424198,23.89677127,14.15264492,17.83729431,10.7667464,27.65646367,33.4253415,43.10019644,34.1646641,40.18528208,27.11383716,45.95276067,43.68135676,58.33558932,49.75325565,56.62606735,39.70478033
GCAM-PR 5.3,Current Policies,World,Capacity Additions Electricity,GW/yr,0,0,0,363.93658,466.9239593,535.5141779,737.5914662,140.5268803,1322.020237,1887.192163,2133.888506,2291.611693,3072.20733,2163.086591,3293.133505,3414.272684,3416.357022,3043.443732,3514.35904,2480.87633
GCAM-PR 5.3,Current Policies,USA,Capacity Additions Electricity,GW/yr,0,0,0,0.221056579,0.421958859,0.412503327,0.708846284,0.477830137,1.323487488,1.733457208,2.373608283,1.969395204,2.365797581,1.627175297,2.749554309,2.655528301,3.573996886,3.113091693,3.531174958,2.482157563
GCAM-PR 5.3,Current Policies,World,Capacity Additions Electricity,GW/yr,0,0,0,3.378149812,11.14501324,15.4828365,28.20958259,8.469588808,64.29723108,103.8641212,127.4886801,151.7217222,203.8641754,153.7809117,228.4387917,240.8497101,245.4855675,229.2949963,261.5969014,192.1298256
GCAM-PR 5.3,Current Policies,USA,Capacity Additions Electricity,GW/yr,0,0,0,17.22136322,23.47481241,13.74014159,17.12844802,10.28891626,26.33297618,31.6918843,40.72658816,32.1952689,37.8194845,25.48666186,43.20320636,41.02582846,54.76159243,46.64016396,53.09489239,37.22262277
GCAM-PR 5.3,Current Policies,World,Capacity Additions Electricity,GW/yr,0,0,0,360.5584302,455.7789461,520.0313414,709.3818836,132.0572915,1257.723006,1783.328042,2006.399826,2139.889971,2868.343155,2009.305679,3064.694713,3173.422974,3170.871454,2814.148736,3252.762139,2288.746505
